NUMBER,NAME,LOCATION,LATITUDE,NS,LONGITUDE,EW,ELEV,ERUPTION TYPE,COMBATANT COMMAND
1209-01-,Uinkaret Field,US-Arizona,36.38,N,113.13,W,1555,M0,USNORTHCOM
1209-02-,Sunset Crater,US-Arizona,35.37,N,111.5,W,2447,M0,USNORTHCOM
1210-01-,Carrizozo,US-New Mexico,33.78,N,105.93,W,1731,M0,USNORTHCOM
1210-02-,Zuni-Bandera,US-New Mexico,34.8,N,108,W,2550,M0,USNORTHCOM
1301-01-,Endeavour Ridge,Pacific-NE,47.95,N,129.1,W,-2050,U0,USNORTHCOM
1301-011,Cobb Segment,Pacific-NE,46.88,N,129.33,W,-2100,U0,USNORTHCOM
1301-02-,CoAxial Segment,Pacific-NE,46.52,N,129.58,W,-2400,U0,USNORTHCOM
1301-021,Axial Seamount,Pacific-NE,45.95,N,130,W,-1410,U0,USNORTHCOM
1301-03-,Cleft Segment,Pacific-NE,44.83,N,130.3,W,-2140,U0,USNORTHCOM
1301-031,North Gorda Ridge,Pacific-NE,42.67,N,126.78,W,-3000,U0,USNORTHCOM
1301-04-,Escanaba Segment,Pacific-NE,40.98,N,127.5,W,-1700,U0,USNORTHCOM
1301-05-,Unnamed,Pacific-NE,31.75,N,124.25,W,-2533,U0,USNORTHCOM
1302-00-,Loihi,Hawaiian Is,18.92,N,155.27,W,-975,U0,USPACOM
1302-01-,Kilauea,Hawaiian Is,19.421,N,155.287,W,1222,M1,USPACOM
1302-02=,Mauna Loa,Hawaiian Is,19.475,N,155.608,W,4170,M1,USPACOM
1302-03-,Mauna Kea,Hawaiian Is,19.82,N,155.47,W,4205,M0,USPACOM
1302-04-,Hualalai,Hawaiian Is,19.692,N,155.87,W,2523,M0,USPACOM
1302-06-,Haleakala,Hawaiian Is,20.708,N,156.25,W,3055,M0,USPACOM
1302-08-,Unnamed,Hawaiian Is,21.75,N,158.75,W,-3000,U0,USPACOM
1302-09-,Unnamed,Hawaiian Is,23.58,N,163.83,W,-4000,U0,USPACOM
1303-01-,Teahitia,Society Is-C Pacific,17.57,S,148.85,W,-1400,U0,USPACOM
1303-02-,Rocard,Society Is-C Pacific,17.642,S,148.6,W,-2100,U0,USPACOM
1303-03-,Moua Pihaa,Society Is-C Pacific,18.32,S,148.67,W,-160,U0,USPACOM
1303-04-,Mehetia,Society Is-C Pacific,17.87,S,148.07,W,435,U0,USPACOM
1303-05-,Adams Seamount,Pacific-C,25.37,S,129.27,W,-39,U0,USPACOM
1303-06-,Macdonald,Austral Is-C Pacific,28.98,S,140.25,W,-39,S0,USPACOM
1304-02-,Northern EPR-Segment RO2,Pacific-E,16.55,N,105.32,W,-2700,U0,USNORTHCOM
1304-021,Northern EPR-Segment RO3,Pacific-E,15.83,N,105.43,W,-2300,U0,USNORTHCOM
1304-04-,Unnamed,Pacific-E,10.73,N,103.58,W,U,U0,USNORTHCOM
1304-05-,Unnamed,Pacific-E,9.83,N,104.3,W,-2500,U0,USNORTHCOM
1304-07-,Galapagos Rift,Pacific-E,0.792,N,86.15,W,-2430,U0,USSOUTHCOM
1304-10-,Unnamed,Pacific-E,8.27,S,107.95,W,-2800,U0,USPACOM
1304-12-,Southern EPR-Segment K,Pacific-E,17.436,S,113.206,W,-2566,U0,USPACOM
1304-13-,Southern EPR-Segment J,Pacific-E,18.175,S,113.35,W,-2650,U0,USPACOM
1304-14-,Southern EPR-Segment I,Pacific-E,18.53,S,113.42,W,-2600,U0,USPACOM
1305-01-,Antipodes Island,Pacific-S,49.68,S,178.77,E,402,U0,USPACOM
1305-02-,Unnamed,Pacific-S,53.9,S,140.3,W,-1000,U0,USPACOM
1305-03-,Unnamed,Pacific-S,55.97,S,143.17,W,U,U0,USPACOM
1401-00-,Cerro Prieto,Mexico,32.418,N,115.305,W,223,M0,USNORTHCOM
1401-001,Pinacate,Mexico,31.772,N,113.498,W,1200,M0,USNORTHCOM
1401-002,San Quintin Volc Field,Mexico,30.468,N,115.996,W,260,M0,USNORTHCOM
1401-003,Isla San Luis,Mexico,29.97,N,114.4,W,180,M0,USNORTHCOM
1401-004,Jaraguay Volc Field,Mexico,29.33,N,114.5,W,960,M0,USNORTHCOM
1401-005,Coronado,Mexico,29.08,N,113.513,W,440,S0,USNORTHCOM
1401-006,Guadalupe,Mexico,29.07,N,118.28,W,1100,S0,USNORTHCOM
1401-007,San Borja Volc Field,Mexico,28.5,N,113.75,W,1360,M0,USNORTHCOM
1401-008,Unnamed,Mexico,28,N,115,W,U,U0,USNORTHCOM
1401-011,Isla Tortuga,Mexico,27.43,N,111.88,W,210,M0,USNORTHCOM
1401-012,Comondu-La Purisima,Mexico,26,N,111.92,W,780,S0,USNORTHCOM
1401-01=,Tres Virgenes,Mexico,27.47,N,112.591,W,1940,S0,USNORTHCOM
1401-021,Socorro,Mexico-Is,18.78,N,110.95,W,1050,M0,USNORTHCOM
1401-022,Durango Volc Field,Mexico,24.15,N,104.45,W,2075,M0,USNORTHCOM
1401-023,Sanganguey,Mexico,21.45,N,104.73,W,2340,S0,USNORTHCOM
1401-02=,Barcena,Mexico-Is,19.3,N,110.82,W,332,M0,USNORTHCOM
1401-031,Mascota Volc Field,Mexico,20.62,N,104.83,W,2560,M0,USNORTHCOM
1401-03=,Ceboruco,Mexico,21.125,N,104.508,W,2280,S2,USNORTHCOM
1401-04=,Colima,Mexico,19.514,N,103.62,W,3850,S0,USNORTHCOM
1401-061,Zitacuaro-Valle de Bravo,Mexico,19.4,N,100.25,W,3500,M0,USNORTHCOM
1401-062,Jocotitlan,Mexico,19.73,N,99.758,W,3900,S0,USNORTHCOM
1401-06=,Michoacan-Guanajuato,Mexico,19.85,N,101.75,W,3860,M2,USNORTHCOM
1401-07-,Nevado de Toluca,Mexico,19.108,N,99.758,W,4680,S2,USNORTHCOM
1401-081,Papayo,Mexico,19.308,N,98.7,W,3600,S0,USNORTHCOM
1401-082,Iztaccihuatl,Mexico,19.179,N,98.642,W,5230,S0,USNORTHCOM
1401-08=,Chichinautzin,Mexico,19.08,N,99.13,W,3930,M0,USNORTHCOM
1401-091,La Malinche,Mexico,19.231,N,98.032,W,4461,S0,USNORTHCOM
1401-092,Serdan-Oriental,Mexico,19.27,N,97.47,W,3485,S0,USNORTHCOM
1401-093,Los Humeros,Mexico,19.68,N,97.45,W,3150,S0,USNORTHCOM
1401-094,Los Atlixcos,Mexico,19.809,N,96.526,W,800,M0,USNORTHCOM
1401-095,Naolinco Volc Field,Mexico,19.67,N,96.75,W,2000,M0,USNORTHCOM
1401-096,Cofre de Perote,Mexico,19.492,N,97.15,W,4282,M0,USNORTHCOM
1401-097,La Gloria,Mexico,19.33,N,97.25,W,3500,M0,USNORTHCOM
1401-098,Las Cumbres,Mexico,19.15,N,97.27,W,3940,S0,USNORTHCOM
1401-09=,Popocatepetl,Mexico,19.023,N,98.622,W,5426,S1,USNORTHCOM
1401-10=,Pico de Orizaba,Mexico,19.03,N,97.268,W,5675,S0,USNORTHCOM
1401-11=,San Martin,Mexico,18.57,N,95.2,W,1650,M0,USNORTHCOM
1401-12=,El Chichon,Mexico,17.36,N,93.228,W,1150,S0,USNORTHCOM
1401-13=,Tacana,Mexico,15.13,N,92.112,W,4060,S0,USNORTHCOM
1402-02=,Tajumulco,Guatemala,15.034,N,91.903,W,4220,S0,USSOUTHCOM
1402-03=,Santa Maria,Guatemala,14.756,N,91.552,W,3772,S9,USSOUTHCOM
1402-04=,Almolonga,Guatemala,14.82,N,91.48,W,3197,S0,USSOUTHCOM
1402-06=,Atitlan,Guatemala,14.583,N,91.186,W,3535,S1,USSOUTHCOM
1402-07=,Toliman,Guatemala,14.612,N,91.189,W,3158,M0,USSOUTHCOM
1402-08=,Acatenango,Guatemala,14.501,N,90.876,W,3976,S1,USSOUTHCOM
1402-09=,Fuego,Guatemala,14.473,N,90.88,W,3763,M2,USSOUTHCOM
1402-10=,Agua,Guatemala,14.465,N,90.743,W,3760,S0,USSOUTHCOM
1402-111,Cuilapa-Barbarena,Guatemala,14.33,N,90.4,W,1454,S0,USSOUTHCOM
1402-11=,Pacaya,Guatemala,14.381,N,90.601,W,2552,M1,USSOUTHCOM
1402-121,Jumaytepeque,Guatemala,14.336,N,90.269,W,1815,S0,USSOUTHCOM
1402-12=,Tecuamburro,Guatemala,14.156,N,90.407,W,1845,S0,USSOUTHCOM
1402-13-,Moyuta,Guatemala,14.03,N,90.1,W,1662,S0,USSOUTHCOM
1402-14-,Flores,Guatemala,14.308,N,89.992,W,1600,M0,USSOUTHCOM
1402-141,Tahual,Guatemala,14.43,N,89.9,W,1716,S0,USSOUTHCOM
1402-15-,Cerro Santiago,Guatemala,14.33,N,89.87,W,1192,M0,USSOUTHCOM
1402-16-,Suchitan,Guatemala,14.4,N,89.78,W,2042,S0,USSOUTHCOM
1402-17-,Chingo,Guatemala,14.12,N,89.73,W,1775,S0,USSOUTHCOM
1402-18-,Ixtepeque,Guatemala,14.42,N,89.68,W,1292,S0,USSOUTHCOM
1402-19-,Ipala,Guatemala,14.55,N,89.63,W,1650,M0,USSOUTHCOM
1402-20-,Chiquimula Volc Field,Guatemala,14.83,N,89.55,W,1192,M0,USSOUTHCOM
1402-21-,Quezaltepeque,Guatemala,14.57,N,89.45,W,1200,M0,USSOUTHCOM
1403-001,San Diego,El Salvador,14.27,N,89.48,W,781,M0,USSOUTHCOM
1403-002,Cerro Singuil,El Salvador,14.05,N,89.65,W,957,M0,USSOUTHCOM
1403-01=,Apaneca Range,El Salvador,13.891,N,89.786,W,2036,M0,USSOUTHCOM
1403-02=,Santa Ana,El Salvador,13.853,N,89.63,W,2381,M2,USSOUTHCOM
1403-03=,Izalco,El Salvador,13.813,N,89.633,W,1950,M1,USSOUTHCOM
1403-041,Coatepeque Caldera,El Salvador,13.87,N,89.55,W,746,S0,USSOUTHCOM
1403-051,Cerro Cinotepeque,El Salvador,14.02,N,89.25,W,665,M0,USSOUTHCOM
1403-052,Guazapa,El Salvador,13.9,N,89.12,W,1438,M0,USSOUTHCOM
1403-05=,San Salvador,El Salvador,13.734,N,89.294,W,1893,M2,USSOUTHCOM
1403-06=,Ilopango,El Salvador,13.672,N,89.053,W,450,S0,USSOUTHCOM
1403-071,Apastepeque Field,El Salvador,13.72,N,88.77,W,700,M0,USSOUTHCOM
1403-072,Taburete,El Salvador,13.435,N,88.532,W,1172,M0,USSOUTHCOM
1403-07=,San Vicente,El Salvador,13.595,N,88.837,W,2182,S0,USSOUTHCOM
1403-081,Usulutan,El Salvador,13.419,N,88.471,W,1449,M0,USSOUTHCOM
1403-082,El Tigre,El Salvador,13.47,N,88.43,W,1640,M0,USSOUTHCOM
1403-08=,Tecapa,El Salvador,13.494,N,88.502,W,1593,S0,USSOUTHCOM
1403-09=,Chinameca,El Salvador,13.478,N,88.33,W,1300,S0,USSOUTHCOM
1403-101,Laguna Aramuaca,El Salvador,13.428,N,88.105,W,181,M0,USSOUTHCOM
1403-10=,San Miguel,El Salvador,13.434,N,88.269,W,2130,S1,USSOUTHCOM
1403-11=,Conchagua,El Salvador,13.275,N,87.845,W,1225,S0,USSOUTHCOM
1403-12=,Conchaguita,El Salvador,13.229,N,87.767,W,505,M0,USSOUTHCOM
1403-13-,Isla el Tigre,Honduras,13.272,N,87.641,W,783,M0,USSOUTHCOM
1403-14-,Isla Zacate Grande,Honduras,13.33,N,87.63,W,640,M0,USSOUTHCOM
1403-15-,Lake Yojoa,Honduras,14.98,N,87.98,W,1090,M0,USSOUTHCOM
1403-16-,Utila Island,Honduras,16.1,N,86.9,W,74,M0,USSOUTHCOM
1404-01=,Cosiguina,Nicaragua,12.98,N,87.57,W,872,S2,USSOUTHCOM
1404-02=,San Cristobal,Nicaragua,12.702,N,87.004,W,1745,S1,USSOUTHCOM
1404-04=,Telica,Nicaragua,12.602,N,86.845,W,1061,S1,USSOUTHCOM
1404-06-,Rota,Nicaragua,12.55,N,86.75,W,832,S1,USSOUTHCOM
1404-07=,Cerro Negro,Nicaragua,12.506,N,86.702,W,728,M2,USSOUTHCOM
1404-08=,Las Pilas,Nicaragua,12.495,N,86.688,W,1088,M0,USSOUTHCOM
1404-091,Apoyeque,Nicaragua,12.242,N,86.342,W,518,S0,USSOUTHCOM
1404-092,Nejapa-Miraflores,Nicaragua,12.12,N,86.32,W,360,M0,USSOUTHCOM
1404-09=,Momotombo,Nicaragua,12.422,N,86.54,W,1297,M2,USSOUTHCOM
1404-101,Granada,Nicaragua,11.92,N,85.98,W,300,M0,USSOUTHCOM
1404-10=,Masaya,Nicaragua,11.984,N,86.161,W,635,M1,USSOUTHCOM
1404-111,Zapatera,Nicaragua,11.73,N,85.82,W,629,M0,USSOUTHCOM
1404-11=,Mombacho,Nicaragua,11.826,N,85.968,W,1344,S0,USSOUTHCOM
1404-12=,Concepcion,Nicaragua,11.538,N,85.622,W,1700,S1,USSOUTHCOM
1404-13-,Maderas,Nicaragua,11.446,N,85.515,W,1394,S0,USSOUTHCOM
1404-131,Esteli,Nicaragua,13.17,N,86.4,W,899,M0,USSOUTHCOM
1404-132,Cerro el Ciguatepe,Nicaragua,12.53,N,86.142,W,603,M0,USSOUTHCOM
1404-133,Las Lajas,Nicaragua,12.3,N,85.73,W,926,M0,USSOUTHCOM
1404-14-,Volcan Azul,Nicaragua,12.53,N,83.87,W,201,M0,USSOUTHCOM
1405-01=,Orosi,Costa Rica,10.98,N,85.473,W,1659,S0,USSOUTHCOM
1405-02=,Rincon de la Vieja,Costa Rica,10.83,N,85.324,W,1916,S2,USSOUTHCOM
1405-031,Tenorio,Costa Rica,10.673,N,85.015,W,1916,S0,USSOUTHCOM
1405-033,Arenal,Costa Rica,10.463,N,84.703,W,1670,S1,USSOUTHCOM
1405-034,Platanar,Costa Rica,10.3,N,84.366,W,2267,S0,USSOUTHCOM
1405-03=,Miravalles,Costa Rica,10.748,N,85.153,W,2028,S0,USSOUTHCOM
1405-04=,Poas,Costa Rica,10.2,N,84.233,W,2708,S1,USSOUTHCOM
1405-05=,Barva,Costa Rica,10.135,N,84.1,W,2906,S0,USSOUTHCOM
1405-06=,Irazu,Costa Rica,9.979,N,83.852,W,3432,S1,USSOUTHCOM
1405-07=,Turrialba,Costa Rica,10.025,N,83.767,W,3340,S1,USSOUTHCOM
1406-01-,Baru,Panama,8.808,N,82.543,W,3474,S0,USSOUTHCOM
1406-02-,La Yeguada,Panama,8.47,N,80.82,W,1297,M0,USSOUTHCOM
1406-03-,El Valle,Panama,8.58,N,80.17,W,1185,S0,USSOUTHCOM
1501-011,Romeral,Colombia,5.206,N,75.364,W,3858,S0,USSOUTHCOM
1501-012,Cerro Bravo,Colombia,5.092,N,75.3,W,4000,S0,USSOUTHCOM
1501-021,Santa Isabel,Colombia,4.82,N,75.37,W,4950,S0,USSOUTHCOM
1501-02=,Nevado del Ruiz,Colombia,4.895,N,75.322,W,5321,S1,USSOUTHCOM
1501-03=,Nevado del Tolima,Colombia,4.67,N,75.33,W,5200,S2,USSOUTHCOM
1501-04=,Machin,Colombia,4.48,N,75.392,W,2650,S0,USSOUTHCOM
1501-05=,Nevado del Huila,Colombia,2.93,N,76.03,W,5364,S1,USSOUTHCOM
1501-061,Sotara,Colombia,2.108,N,76.592,W,4400,S0,USSOUTHCOM
1501-062,Petacas,Colombia,1.57,N,76.78,W,4054,S0,USSOUTHCOM
1501-06=,Purace,Colombia,2.32,N,76.4,W,4650,S1,USSOUTHCOM
1501-07=,Dona Juana,Colombia,1.47,N,76.92,W,4150,S2,USSOUTHCOM
1501-08=,Galeras,Colombia,1.22,N,77.37,W,4276,S1,USSOUTHCOM
1501-09=,Azufral,Colombia,1.08,N,77.68,W,4070,S0,USSOUTHCOM
1501-10=,Cumbal,Colombia,0.95,N,77.87,W,4764,S1,USSOUTHCOM
1501-11=,Cerro Negro de Mayasquer,Colombia,0.828,N,77.964,W,4445,S0,USSOUTHCOM
1502-001,Soche,Ecuador,0.552,N,77.58,W,3955,S0,USSOUTHCOM
1502-002,Chachimbiro,Ecuador,0.468,N,78.287,W,4106,S0,USSOUTHCOM
1502-003,Cuicocha,Ecuador,0.308,N,78.364,W,3246,S0,USSOUTHCOM
1502-004,Imbabura,Ecuador,0.258,N,78.183,W,4609,S0,USSOUTHCOM
1502-005,Mojanda,Ecuador,0.13,N,78.27,W,4263,S2,USSOUTHCOM
1502-006,Cayambe,Ecuador,0.029,N,77.986,W,5790,S0,USSOUTHCOM
1502-011,Pululagua,Ecuador,0.038,N,78.463,W,3356,S0,USSOUTHCOM
1502-01=,Reventador,Ecuador,0.077,S,77.656,W,3562,S2,USSOUTHCOM
1502-021,Atacazo,Ecuador,0.353,S,78.617,W,4463,S0,USSOUTHCOM
1502-022,Chacana,Ecuador,0.375,S,78.25,W,4643,S0,USSOUTHCOM
1502-02=,Guagua Pichincha,Ecuador,0.171,S,78.598,W,4784,S1,USSOUTHCOM
1502-03=,Antisana,Ecuador,0.481,S,78.141,W,5753,S2,USSOUTHCOM
1502-041,Illiniza,Ecuador,0.659,S,78.714,W,5248,S0,USSOUTHCOM
1502-04=,Sumaco,Ecuador,0.538,S,77.626,W,3990,S0,USSOUTHCOM
1502-05=,Cotopaxi,Ecuador,0.677,S,78.436,W,5911,S2,USSOUTHCOM
1502-06=,Quilotoa,Ecuador,0.85,S,78.9,W,3914,S0,USSOUTHCOM
1502-071,Chimborazo,Ecuador,1.464,S,78.815,W,6310,S0,USSOUTHCOM
1502-081,Licto,Ecuador,1.78,S,78.613,W,3336,M0,USSOUTHCOM
1502-08=,Tungurahua,Ecuador,1.467,S,78.442,W,5023,S1,USSOUTHCOM
1502-09=,Sangay,Ecuador,2.002,S,78.341,W,5230,S9,USSOUTHCOM
1503-011,Ecuador,Galapagos,0.02,S,91.546,W,790,M0,USSOUTHCOM
1503-01=,Fernandina,Galapagos,0.37,S,91.55,W,1476,M0,USSOUTHCOM
1503-02=,Wolf,Galapagos,0.02,N,91.35,W,1710,M0,USSOUTHCOM
1503-03=,Darwin,Galapagos,0.18,S,91.28,W,1330,M0,USSOUTHCOM
1503-04=,Alcedo,Galapagos,0.43,S,91.12,W,1130,S0,USSOUTHCOM
1503-05=,Sierra Negra,Galapagos,0.83,S,91.17,W,1124,M0,USSOUTHCOM
1503-06=,Cerro Azul,Galapagos,0.92,S,91.408,W,1640,M0,USSOUTHCOM
1503-07=,Pinta,Galapagos,0.58,N,90.75,W,780,M0,USSOUTHCOM
1503-081,Genovesa,Galapagos,0.32,N,89.958,W,64,M0,USSOUTHCOM
1503-08=,Marchena,Galapagos,0.33,N,90.47,W,343,M0,USSOUTHCOM
1503-091,Santa Cruz,Galapagos,0.62,S,90.33,W,864,M0,USSOUTHCOM
1503-09=,Santiago,Galapagos,0.22,S,90.77,W,920,M0,USSOUTHCOM
1503-12-,San Cristobal,Galapagos,0.88,S,89.5,W,759,M0,USSOUTHCOM
1504-00-,Quimsachata,Peru,14.2,S,71.33,W,3923,S0,USSOUTHCOM
1504-001,Cerro Auquihuato,Peru,15.07,S,73.18,W,4980,M0,USSOUTHCOM
1504-002,Sara Sara,Peru,15.33,S,73.45,W,5522,S0,USSOUTHCOM
1504-003,Coropuna,Peru,15.52,S,72.65,W,6377,S0,USSOUTHCOM
1504-004,Andahua-Orcopampa,Peru,15.42,S,72.33,W,4713,M0,USSOUTHCOM
1504-005,Huambo,Peru,15.83,S,72.13,W,4550,S0,USSOUTHCOM
1504-006,Sabancaya,Peru,15.78,S,71.85,W,5967,S0,USSOUTHCOM
1504-007,Nevado Chachani,Peru,16.191,S,71.53,W,6057,S0,USSOUTHCOM
1504-008,Cerro Nicholson,Peru,16.261,S,71.73,W,2520,M0,USSOUTHCOM
1504-01=,El Misti,Peru,16.294,S,71.409,W,5822,S0,USSOUTHCOM
1504-02=,Ubinas,Peru,16.355,S,70.903,W,5672,S1,USSOUTHCOM
1504-031,Ticsani,Peru,16.755,S,70.595,W,5408,S0,USSOUTHCOM
1504-03=,Huaynaputina,Peru,16.608,S,70.85,W,4850,S3,USSOUTHCOM
1504-04=,Tutupaca,Peru,17.025,S,70.358,W,5815,S0,USSOUTHCOM
1504-05-,Yucamane,Peru,17.18,S,70.2,W,5550,S0,USSOUTHCOM
1504-06-,Nevados Casiri,Peru,17.47,S,69.813,W,5650,S0,USSOUTHCOM
1505-011,Taapaca,Chile-N,18.1,S,69.5,W,5860,S0,USSOUTHCOM
1505-012,Parinacota,Chile-N,18.17,S,69.15,W,6348,S0,USSOUTHCOM
1505-01=,Tacora,Chile-N,17.72,S,69.77,W,5980,S0,USSOUTHCOM
1505-021,Tambo Quemado,Bolivia,18.62,S,68.75,W,4215,S0,USSOUTHCOM
1505-02=,Guallatiri,Chile-N,18.42,S,69.092,W,6071,S1,USSOUTHCOM
1505-032,Tata Sabaya,Bolivia,19.13,S,68.53,W,5430,S0,USSOUTHCOM
1505-035,Laguna Jayu Khota,Bolivia,19.45,S,67.42,W,3650,S0,USSOUTHCOM
1505-036,Nuevo Mundo,Bolivia,19.78,S,66.48,W,5438,S0,USSOUTHCOM
1505-03=,Isluga,Chile-N,19.15,S,68.83,W,5550,S1,USSOUTHCOM
1505-042,Pampa Luxsar,Bolivia,20.85,S,68.2,W,5543,S0,USSOUTHCOM
1505-04=,Irruputuncu,Chile-N,20.73,S,68.55,W,5163,S0,USSOUTHCOM
1505-05=,Olca-Paruma,Chile-N,20.93,S,68.48,W,5407,S0,USSOUTHCOM
1505-061,Cerro del Azufre,Chile-N,21.787,S,68.237,W,5846,S0,USSOUTHCOM
1505-06=,Ollague,Chile-N,21.3,S,68.18,W,5868,S0,USSOUTHCOM
1505-07=,San Pedro,Chile-N,21.88,S,68.4,W,6145,S1,USSOUTHCOM
1505-091,Sairecabur,Chile-N,22.72,S,67.892,W,5971,S0,USSOUTHCOM
1505-092,Licancabur,Chile-N,22.83,S,67.88,W,5916,S0,USSOUTHCOM
1505-093,Guayaques,Chile-N,22.895,S,67.566,W,5598,S0,USSOUTHCOM
1505-094,Purico Complex,Chile-N,23,S,67.75,W,5703,S0,USSOUTHCOM
1505-095,Colachi,Chile-N,23.236,S,67.645,W,5631,S0,USSOUTHCOM
1505-096,Acamarachi,Chile-N,23.3,S,67.62,W,6046,S0,USSOUTHCOM
1505-097,Cerro Overo,Chile-N,23.52,S,67.67,W,4555,S0,USSOUTHCOM
1505-098,Chiliques,Chile-N,23.58,S,67.7,W,5778,S0,USSOUTHCOM
1505-09=,Putana,Chile-N,22.55,S,67.85,W,5890,S0,USSOUTHCOM
1505-101,Cordon de Puntas Negras,Chile-N,23.743,S,67.534,W,5852,S0,USSOUTHCOM
1505-102,Miniques,Chile-N,23.82,S,67.77,W,5910,S0,USSOUTHCOM
1505-103,Cerro Tujle,Chile-N,23.83,S,67.95,W,3550,M0,USSOUTHCOM
1505-104,Caichinque,Chile-N,23.95,S,67.73,W,4450,S0,USSOUTHCOM
1505-105,Tilocalar,Chile-N,23.97,S,68.13,W,3116,S0,USSOUTHCOM
1505-106,El Negrillar,Chile-N,24.18,S,68.25,W,3500,M0,USSOUTHCOM
1505-107,Pular,Chile-N,24.188,S,68.054,W,6233,S0,USSOUTHCOM
1505-108,La Negrillar,Chile-N,24.28,S,68.6,W,4109,M0,USSOUTHCOM
1505-109,Socompa,Chile-N,24.4,S,68.25,W,6051,S0,USSOUTHCOM
1505-10=,Lascar,Chile-N,23.37,S,67.73,W,5592,S2,USSOUTHCOM
1505-112,Cerro Escorial,Chile-N,25.08,S,68.37,W,5447,S0,USSOUTHCOM
1505-11=,Llullaillaco,Chile-N,24.72,S,68.53,W,6739,S0,USSOUTHCOM
1505-121,Cordon del Azufre,Chile-N,25.33,S,68.52,W,5463,S0,USSOUTHCOM
1505-122,Cerro Bayo,Chile-N,25.42,S,68.58,W,5401,S0,USSOUTHCOM
1505-123,Sierra Nevada,Chile-N,26.48,S,68.58,W,6127,S0,USSOUTHCOM
1505-124,Falso Azufre,Chile-N,26.8,S,68.37,W,5890,S0,USSOUTHCOM
1505-125,Nevado de Incahuasi,Chile-N,27.042,S,68.28,W,6621,S0,USSOUTHCOM
1505-12=,Lastarria,Chile-N,25.17,S,68.5,W,5697,S0,USSOUTHCOM
1505-131,El Solo,Chile-N,27.108,S,68.72,W,6190,S0,USSOUTHCOM
1505-13=,Nevados Ojos del Salado,Chile-N,27.12,S,68.55,W,6887,S0,USSOUTHCOM
1505-14-,Copiapo,Chile-N,27.3,S,69.13,W,6052,S0,USSOUTHCOM
1505-15-,Cerro Tuzgle,Argentina,24.05,S,66.48,W,5500,S0,USSOUTHCOM
1505-16-,Aracar,Argentina,24.25,S,67.77,W,6082,S0,USSOUTHCOM
1505-161,Unnamed,Argentina,25.1,S,68.27,W,U,M0,USSOUTHCOM
1505-18-,Antofagasta de la Sierra,Argentina,26.08,S,67.5,W,4000,M0,USSOUTHCOM
1505-19-,Cerro el Condor,Argentina,26.62,S,68.35,W,6532,S0,USSOUTHCOM
1505-20-,Peinado,Argentina,26.62,S,68.15,W,5740,S0,USSOUTHCOM
1505-21-,Robledo,Argentina,26.77,S,67.72,W,4400,S0,USSOUTHCOM
1505-22-,Tipas,Argentina,27.2,S,68.55,W,6660,S0,USSOUTHCOM
1506-011,Easter Island,Chile-Is,27.15,S,109.38,W,511,M0,USSOUTHCOM
1506-01=,San Felix,Chile-Is,26.28,S,80.12,W,193,M0,USSOUTHCOM
1506-02=,Robinson Crusoe,Chile-Is,33.658,S,78.85,W,922,M0,USSOUTHCOM
1506-04=,Unnamed,Chile-Is,33.62,S,76.83,W,-642,U0,USSOUTHCOM
1507-01=,Tupungatito,Chile-C,33.4,S,69.8,W,6000,S1,USSOUTHCOM
1507-021,Maipo,Chile-C,34.161,S,69.833,W,5264,S1,USSOUTHCOM
1507-022,Palomo,Chile-C,34.608,S,70.295,W,4860,S0,USSOUTHCOM
1507-023,Caldera del Atuel,Argentina,34.65,S,70.05,W,5189,S0,USSOUTHCOM
1507-024,Risco Plateado,Argentina,34.93,S,70,W,4999,S0,USSOUTHCOM
1507-02=,San Jose,Chile-C,33.782,S,69.897,W,5856,S1,USSOUTHCOM
1507-03=,Tinguiririca,Chile-C,34.814,S,70.352,W,4280,S0,USSOUTHCOM
1507-042,Calabozos,Chile-C,35.558,S,70.496,W,3508,S0,USSOUTHCOM
1507-04=,Planchon-Peteroa,Chile-C,35.24,S,70.57,W,4107,S1,USSOUTHCOM
1507-05=,Descabezado Grande,Chile-C,35.58,S,70.75,W,3953,S0,USSOUTHCOM
1507-061,Laguna del Maule,Chile-C,36.02,S,70.58,W,3092,S0,USSOUTHCOM
1507-062,San Pedro-Pellado,Chile-C,35.989,S,70.849,W,3621,S0,USSOUTHCOM
1507-063,Nevado de Longavi,Chile-C,36.193,S,71.161,W,3242,S0,USSOUTHCOM
1507-064,Lomas Blancas,Chile-C,36.286,S,71.009,W,2268,S0,USSOUTHCOM
1507-065,Resago,Chile-C,36.45,S,70.92,W,1890,M0,USSOUTHCOM
1507-066,Payun Matru,Argentina,36.42,S,69.2,W,3680,M0,USSOUTHCOM
1507-067,Domuyo,Argentina,36.58,S,70.42,W,4709,S0,USSOUTHCOM
1507-06=,Cerro Azul,Chile-C,35.653,S,70.761,W,3788,S2,USSOUTHCOM
1507-071,Cochiquito Volc Group,Argentina,36.77,S,69.82,W,1435,S0,USSOUTHCOM
1507-072,Tromen,Argentina,37.142,S,70.03,W,3978,S0,USSOUTHCOM
1507-073,Puesto Cortaderas,Argentina,37.57,S,69.62,W,970,M0,USSOUTHCOM
1507-07=,Nevados de Chillan,Chile-C,36.863,S,71.377,W,3212,S1,USSOUTHCOM
1507-081,Trocon,Argentina,37.73,S,70.9,W,2500,S0,USSOUTHCOM
