#   Latitude   Longitude           x           y  Code Location 
    47.56771  -118.17087     0.00000     0.00000       JD16      
    47.65851  -118.14110     0.00000     0.00000       JD17      
    47.78306  -118.17335     0.00000     0.00000       JD18      
    47.85959  -118.21542     0.00000     0.00000       JD19      
    47.90344  -118.30237     0.00000     0.00000       JD20      
    48.15350  -118.16926     0.00000     0.00000       JD21      
    47.75684  -118.72173     0.00000     0.00000       JD22      
    47.53696  -118.78267     0.00000     0.00000       JD23      
    47.33400  -118.69176     0.00000     0.00000       JD24      
    46.97188  -118.66494     0.00000     0.00000       JD_UNKNOWN
    48.22241  -118.70641     0.00000     0.00000       JD_UNKNOWN
    47.60306  -117.34585     0.00000     0.00000       JD_UNKNOWN
    47.60223  -117.39010     0.00000     0.00000       JD_UNKNOWN
    45.75209  -116.30656     0.00000     0.00000       SW230     
    45.93055  -116.13213     0.00000     0.00000       SW242     
    46.15249  -116.38834     0.00000     0.00000       SW264     
    46.42592  -117.00202     0.00000     0.00000       SW282     
    46.72697  -117.00164     0.00000     0.00000       SW328     
    46.86673  -117.00924     0.00000     0.00000       SW344     
    46.88182  -117.00357     0.00000     0.00000       SW356     
    46.96376  -116.93073     0.00000     0.00000       SW365     
    47.09659  -116.82752     0.00000     0.00000       SW379     
    47.13442  -116.89010     0.00000     0.00000       SW370     
    47.29708  -116.90831     0.00000     0.00000       SW390     
    47.40072  -116.92206     0.00000     0.00000       SW400     
    47.49650  -116.96353     0.00000     0.00000       SW412     
    47.66401  -116.83547     0.00000     0.00000       SW424     
    47.69954  -116.79168     0.00000     0.00000       SW431     
    47.83867  -116.77110     0.00000     0.00000       SW440     
    47.98782  -116.69712     0.00000     0.00000       SW450     
    48.12496  -116.60968     0.00000     0.00000       SW463     
    48.38828  -115.55586     0.00000     0.00000       WH_UNKNOWN
    48.34105  -114.33579     0.00000     0.00000       TB22      
    48.24531  -114.33043     0.00000     0.00000       TB21      
    48.16404  -114.28805     0.00000     0.00000       TB20      
    48.07664  -114.24585     0.00000     0.00000       TB19      
    47.96134  -114.18849     0.00000     0.00000       TB18      
    47.87407  -114.22767     0.00000     0.00000       TB17      
    47.83876  -114.28359     0.00000     0.00000       TB16      
    47.80296  -114.27766     0.00000     0.00000       TB15      
    47.74212  -114.22798     0.00000     0.00000       TB14      
    47.69268  -114.14515     0.00000     0.00000       TB13      
    47.59895  -114.11931     0.00000     0.00000       TB12      
    47.51495  -114.09711     0.00000     0.00000       TB11      
    47.41355  -114.09683     0.00000     0.00000       TB10      
    47.30717  -114.12412     0.00000     0.00000       TB9       
    47.24381  -114.16811     0.00000     0.00000       TB8       
    47.14083  -114.04441     0.00000     0.00000       TB7       
    47.07950  -114.04378     0.00000     0.00000       TB6       
    47.01023  -114.12254     0.00000     0.00000       TB5       
    46.96465  -114.13173     0.00000     0.00000       TB4       
    46.87042  -113.98121     0.00000     0.00000       TB1       
    46.82305  -114.07781     0.00000     0.00000       TB23      
    46.75682  -114.08254     0.00000     0.00000       TB24      
    46.65709  -114.07702     0.00000     0.00000       TB25      
    46.52344  -114.11427     0.00000     0.00000       TB26      
    46.43743  -114.13767     0.00000     0.00000       TB27      
    46.34182  -114.14965     0.00000     0.00000       TB28      
    46.25489  -114.15666     0.00000     0.00000       TB29      
    46.18116  -114.18133     0.00000     0.00000       TB30      
    46.03417  -114.17812     0.00000     0.00000       TB31      
    45.97181  -114.13867     0.00000     0.00000       TB32      
    45.92073  -114.10966     0.00000     0.00000       TB33      
    45.90708  -114.08332     0.00000     0.00000       TB34      
    45.99277  -112.53969     0.00000     0.00000       TBUNKNOWN 
