-152.1841	61.2653 257.422
-152.1708	61.2570   0.0
-152.1439	61.2559 214.300
-152.1172	61.2472 419.00
-152.1044	61.2372   0.0
-152.1008	61.2572 145.500
-152.1247	61.2855  31.024
-152.1294	61.3006   0.384
-152.1113	61.2731 219.200
-152.0853	61.2734 214.225
-152.0740	61.2925  17.760
-151.9858	61.3094  15.525
-151.9556	61.3039   7.888
-151.9655	61.2708 122.462
-152.0400	61.2461  72.050
-151.8191	61.2717  54.662
-151.5786	61.2208   0.0
-151.1609	61.0494   0.0
-151.0392	61.1675   0.0
-151.0295	61.1795   1.104
-150.9475	61.2389   3.311
-150.8303	61.3220   5.528
-150.6000	61.3977   1.473
-150.3761	61.4870   0.0
-150.5050	61.5442   0.0
-150.4824	61.2561   3.360
-150.3372	61.2684   4.992
-150.0175	61.2497   2.688
-149.8650	61.1098   1.216
-149.6422	60.9226   0.352
-149.5013	60.9958   0.970
-149.5222	61.3041   0.582
-149.1608	61.4725   0.202
-149.1128	61.0436   1.423
-149.2258	61.0122   1.242
-149.1212	60.9597   1.040
-148.9929	61.0394   2.000
-149.4530	60.7617   0.0
-149.4794	60.6639   0.0
-148.7028	60.7436   0.455
-148.6024	60.9053   0.556
-147.9931	61.2364   0.372
-147.7972	60.9872   2.620
-147.4617	60.9158   2.200
-146.3437	61.1286   0.211
-145.7478	60.5459   1.336
-149.8448	61.1972   1.938
-139.7332	59.5500   0.000592
-135.4499	59.2333   0.0
-135.3334	57.0500   0.000071
-132.9501	56.8167   0.0
